Date,Store,Product,ProductType,Forecast,OpeningStock,Production,AvailableForSale,Sales,ClosingStock,Loss,ForecastError,ForecastAbsoluteError,SellThroughRate,InventoryStatus,StockoutFlag,LossFlag,ProductionMethod,IsEventDay,EventName,PromotionType,PromotionTarget,SalesSource
2026-05-02,Shop_A,エクレア,regular,13,1,14,15,15,0,0,-2,2,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-02,Shop_A,シュー,regular,32,0,36,36,35,1,0,-3,3,0.9722,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-02,Shop_A,パール,regular,13,3,12,15,12,3,0,1,1,0.8,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-02,Shop_A,プリン,regular,14,6,10,16,9,7,0,5,5,0.5625,Stock remaining,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-02,Shop_A,リッチエクレア,regular,8,0,9,9,9,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-02,Shop_A,リッチシュー,regular,17,4,15,19,19,0,0,-2,2,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-02,Shop_A,季節シュー,seasonal,13,1,14,15,15,0,0,-2,2,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-02,Shop_B,エクレア,regular,13,0,15,15,13,2,0,0,0,0.8667,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-02,Shop_B,シュー,regular,29,0,32,32,29,3,0,0,0,0.9062,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-02,Shop_B,パール,regular,9,3,7,10,10,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-02,Shop_B,プリン,regular,11,0,12,12,10,2,0,1,1,0.8333,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-02,Shop_B,リッチエクレア,regular,8,3,6,9,5,4,0,3,3,0.5556,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-02,Shop_B,リッチシュー,regular,13,3,12,15,15,0,0,-2,2,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-02,Shop_B,季節シュー,seasonal,12,2,11,12,11,1,1,1,1,0.9167,Low closing stock,False,True,Previous-day preparation,False,None,None,None,inventory
2026-05-02,Shop_C,エクレア,regular,18,0,20,20,20,0,0,-2,2,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-02,Shop_C,シュー,regular,41,3,43,45,39,6,1,2,2,0.8667,Stock remaining,False,True,Previous-day preparation,False,None,None,None,inventory
2026-05-02,Shop_C,パール,regular,13,2,13,15,13,2,0,0,0,0.8667,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-02,Shop_C,プリン,regular,14,0,16,16,15,1,0,-1,1,0.9375,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-02,Shop_C,リッチエクレア,regular,11,1,11,12,11,1,0,0,0,0.9167,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-02,Shop_C,リッチシュー,regular,20,5,17,22,18,4,0,2,2,0.8182,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-02,Shop_C,季節シュー,seasonal,17,0,19,19,19,0,0,-2,2,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-03,Shop_A,エクレア,regular,16,0,18,18,16,2,0,0,0,0.8889,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-03,Shop_A,シュー,regular,35,1,38,39,34,5,0,1,1,0.8718,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-03,Shop_A,パール,regular,13,3,12,15,14,1,0,-1,1,0.9333,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-03,Shop_A,プリン,regular,13,7,8,15,14,1,0,-1,1,0.9333,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-03,Shop_A,リッチエクレア,regular,8,0,9,9,6,3,0,2,2,0.6667,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-03,Shop_A,リッチシュー,regular,17,0,19,19,19,0,0,-2,2,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-03,Shop_A,季節シュー,seasonal,12,0,13,13,11,2,0,1,1,0.8462,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-03,Shop_B,エクレア,regular,12,2,11,13,12,1,0,0,0,0.9231,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-03,Shop_B,シュー,regular,30,3,31,34,29,5,0,1,1,0.8529,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-03,Shop_B,パール,regular,8,0,9,9,8,1,0,0,0,0.8889,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-03,Shop_B,プリン,regular,10,2,9,11,11,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-03,Shop_B,リッチエクレア,regular,10,4,7,11,10,1,0,0,0,0.9091,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
