Date,Year,Quarter,MonthNumber,MonthName,WeekOfYear,DayOfMonth,WeekdayNumber,Weekday,IsWeekend,IsHoliday,HolidayName,DayType,Season
2026-05-02,2026,Q2,5,May,18,2,6,Saturday,True,False,None,Weekend,Spring
2026-05-03,2026,Q2,5,May,18,3,7,Sunday,True,True,Constitution Memorial Day,Holiday,Spring
2026-05-04,2026,Q2,5,May,19,4,1,Monday,False,True,Greenery Day,Holiday,Spring
2026-05-05,2026,Q2,5,May,19,5,2,Tuesday,False,True,Children's Day,Holiday,Spring
2026-05-06,2026,Q2,5,May,19,6,3,Wednesday,False,True,Substitute Holiday,Holiday,Spring
2026-05-07,2026,Q2,5,May,19,7,4,Thursday,False,False,None,Weekday,Spring
2026-05-08,2026,Q2,5,May,19,8,5,Friday,False,False,None,Weekday,Spring
2026-05-09,2026,Q2,5,May,19,9,6,Saturday,True,False,None,Weekend,Spring
2026-05-10,2026,Q2,5,May,19,10,7,Sunday,True,False,None,Weekend,Spring
2026-05-11,2026,Q2,5,May,20,11,1,Monday,False,False,None,Weekday,Spring
2026-05-12,2026,Q2,5,May,20,12,2,Tuesday,False,False,None,Weekday,Spring
2026-05-13,2026,Q2,5,May,20,13,3,Wednesday,False,False,None,Weekday,Spring
2026-05-14,2026,Q2,5,May,20,14,4,Thursday,False,False,None,Weekday,Spring
2026-05-15,2026,Q2,5,May,20,15,5,Friday,False,False,None,Weekday,Spring
2026-05-16,2026,Q2,5,May,20,16,6,Saturday,True,False,None,Weekend,Spring
2026-05-17,2026,Q2,5,May,20,17,7,Sunday,True,False,None,Weekend,Spring
2026-05-18,2026,Q2,5,May,21,18,1,Monday,False,False,None,Weekday,Spring
2026-05-19,2026,Q2,5,May,21,19,2,Tuesday,False,False,None,Weekday,Spring
2026-05-20,2026,Q2,5,May,21,20,3,Wednesday,False,False,None,Weekday,Spring
2026-05-21,2026,Q2,5,May,21,21,4,Thursday,False,False,None,Weekday,Spring
2026-05-22,2026,Q2,5,May,21,22,5,Friday,False,False,None,Weekday,Spring
2026-05-23,2026,Q2,5,May,21,23,6,Saturday,True,False,None,Weekend,Spring
2026-05-24,2026,Q2,5,May,21,24,7,Sunday,True,False,None,Weekend,Spring
2026-05-25,2026,Q2,5,May,22,25,1,Monday,False,False,None,Weekday,Spring
2026-05-26,2026,Q2,5,May,22,26,2,Tuesday,False,False,None,Weekday,Spring
2026-05-27,2026,Q2,5,May,22,27,3,Wednesday,False,False,None,Weekday,Spring
2026-05-28,2026,Q2,5,May,22,28,4,Thursday,False,False,None,Weekday,Spring
2026-05-29,2026,Q2,5,May,22,29,5,Friday,False,False,None,Weekday,Spring
2026-05-30,2026,Q2,5,May,22,30,6,Saturday,True,False,None,Weekend,Spring
2026-05-31,2026,Q2,5,May,22,31,7,Sunday,True,False,None,Weekend,Spring
2026-06-01,2026,Q2,6,June,23,1,1,Monday,False,False,None,Weekday,Summer
2026-06-02,2026,Q2,6,June,23,2,2,Tuesday,False,False,None,Weekday,Summer
2026-06-03,2026,Q2,6,June,23,3,3,Wednesday,False,False,None,Weekday,Summer
2026-06-04,2026,Q2,6,June,23,4,4,Thursday,False,False,None,Weekday,Summer
2026-06-05,2026,Q2,6,June,23,5,5,Friday,False,False,None,Weekday,Summer
2026-06-06,2026,Q2,6,June,23,6,6,Saturday,True,False,None,Weekend,Summer
2026-06-07,2026,Q2,6,June,23,7,7,Sunday,True,False,None,Weekend,Summer
2026-06-08,2026,Q2,6,June,24,8,1,Monday,False,False,None,Weekday,Summer
2026-06-09,2026,Q2,6,June,24,9,2,Tuesday,False,False,None,Weekday,Summer
2026-06-10,2026,Q2,6,June,24,10,3,Wednesday,False,False,None,Weekday,Summer
